Sample ID	faith_pd
#q2:types	numeric
stool.ASD.1.1	10.3501741855
stool.ASD.12.1	16.3805061465
stool.ASD.12.2	14.6623817735
stool.ASD.14.1	9.8351729465
stool.ASD.14.2	8.9869773775
stool.ASD.14.3	9.9527176275
stool.ASD.19.1	10.9573639335
stool.ASD.22.1	11.3494956605
stool.ASD.22.2	11.1083124985
stool.ASD.22.3	12.1356397695
stool.ASD.24.1	11.7975913665
stool.ASD.24.2	12.8411962185
stool.ASD.25.2	10.4122993185
stool.ASD.27.1	11.6174519415
stool.ASD.27.2	13.3781340375
stool.ASD.3.1A	10.6647969635
stool.ASD.3.1B	12.2317013875
stool.ASD.4.1	11.7511474845
stool.ASD.6.1	14.5743971945
stool.ASD.6.2	16.2264397045
stool.ASD.7.1	11.4203606245
stool.ASD.7.2	11.0990610905
stool.ASD.7.3	14.2069504645
stool.ASD.7.4	13.0755441975
stool.ASD.8.1	10.9927797665
stool.control.13S.1A	12.1703666795
stool.control.13S.1B	14.4548595705
stool.control.13S.2	13.0360567275
stool.control.15S.1	8.7926968485
stool.control.15S.2	8.8865586645
stool.control.15S.3	9.8448371765
stool.control.18S.1	12.9933926065
stool.control.26S.1	12.3937441775
stool.control.28S.2	9.3449717325
stool.control.29C.1	14.2131927385
stool.control.30C.1	13.8473995395
stool.control.30C.3	11.9916934625
stool.control.31C.1	17.4451037855
stool.control.31C.2	13.0499855835
stool.control.32C.1	14.2275919925
stool.control.32C.2.run1	17.640018085
stool.control.32C.3	13.9627747725
stool.control.34C.1	12.8639408305
stool.control.35C.1A	11.4408868615
stool.control.35C.1B	14.1784021975
stool.control.36C.1	14.1277628915
stool.control.37C.1	12.3481464835
stool.control.38C.2A	13.7888286885
stool.control.38C.2B	13.2986794905
stool.control.39C.1	13.3840672555
stool.control.39C.2	13.8863562055
stool.control.40C.1	13.7481939465
stool.control.40C.2	11.0540241545
stool.ASD.12.2.ASU	12.9501629405
stool.ASD.14.4	7.7220927765
stool.ASD.14.4.ASU	7.2905330885
stool.ASD.22.4	11.8341343525
stool.ASD.22.4.ASU	10.4413897435
stool.ASD.24.1.ASU	12.0771489425
stool.ASD.27.4	14.3943942465
stool.ASD.27.4.ASU	14.4386442055
stool.ASD.27.5	14.7480334185
stool.ASD.6.4	12.6177414035
stool.ASD.7.4.ASU	12.7278342505
stool.control.15S.4	9.5339914525
stool.control.15S.4.ASU	7.8911764575
stool.control.26S.1.ASU	10.9059308085
stool.control.28S.3	10.5147208805
stool.control.30C.4	9.7401799825
stool.control.30C.5	10.0043904175
stool.control.31C.3	11.1311436725
stool.control.32C.1.ASU	13.9380807545
stool.control.32C.2.run2	12.0351521775
stool.control.38C.1.ASU	11.2368535375
stool.control.39C.3	13.4344476045
stool.control.39C.4	13.5647517435
stool.control.40C.4	10.4180954275
stool.control.40C.5	9.0006295905
